p,d,prob_success,num_samples
0.0,5,100.0,1000
0.0075,5,100.0,1000
0.0082910156,5,100.0,1000
0.0084161568,5,100.0,1000
0.0084425537,5,100.0,1000
0.0084513527,5,99.8,1000
0.0084557522,5,100.0,1000
0.0084578403,5,100.0,1000
0.0084578705,5,99.6,1000
0.0084579797,5,100.0,1000
0.0084580261,5,99.8,1000
0.008458032,5,100.0,1000
0.0084580494,5,99.8,1000
0.0084580581,5,100.0,1000
0.0084580636,5,100.0,1000
0.0084580652,5,100.0,1000
0.0084580655,5,99.8,1000
0.0084580657,5,99.8,1000
0.0084580658,5,100.0,1000
0.008458066,5,99.4,1000
0.0084580661,5,100.0,1000
0.0084580662,5,100.0,1000
0.0084580663,5,99.8,1000
0.0084580663,5,99.8,1000
0.0084580663,5,100.0,1000
0.0084580663,5,99.4,1000
0.0084580663,5,99.2,1000
0.0084580663,5,100.0,1000
0.0084580663,5,99.8,1000
0.0084580663,5,100.0,1000
0.0084580663,5,99.4,1000
0.0084580663,5,99.6,1000
0.0084580663,5,99.6,1000
0.0084580663,5,100.0,1000
0.0084580663,5,99.8,1000
0.0084580663,5,99.8,1000
0.0084580663,5,100.0,1000
0.0084580663,5,99.8,1000
0.0084580663,5,99.6,1000
0.0084580663,5,100.0,1000
0.0084580663,5,99.8,1000
0.0084580663,5,99.8,1000
0.0084580663,5,99.6,1000
0.0084580663,5,100.0,1000
0.0084580663,5,99.6,1000
0.0084580663,5,99.4,1000
0.0084580663,5,99.8,1000
0.0084580664,5,99.8,1000
0.0084580679,5,99.8,1000
0.0084580712,5,99.6,1000
0.0084580881,5,99.8,1000
0.0084581707,5,99.6,1000
0.0084582808,5,99.4,1000
0.0084584276,5,99.8,1000
0.0084585363,5,99.8,1000
0.0084586233,5,99.6,1000
0.0084588843,5,99.4,1000
0.0084594643,5,99.8,1000
0.0084607016,5,99.6,1000
0.0084623514,5,99.8,1000
0.0084630847,5,99.8,1000
0.0084787274,5,99.6,1000
0.0085134888,5,99.2,1000
0.0085546875,5,99.4,1000
0.0085876465,5,99.6,1000
0.0086865234,5,99.4,1000
0.00890625,5,99.6,1000
0.009375,5,97.39999999999999,1000
0.01,5,92.0,1000
0.01125,5,0.0,1000
0.02,5,0.0,1000
0.0084580663,5,100.0,1000
